T,logg,Z,α,folder,filename
4300,4,-3,0.2,Z-3.0.Alpha=+0.20,lte04300-4.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5100,1.5,-3,0.2,Z-3.0.Alpha=+0.20,lte05100-1.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4200,5.5,-3,0.2,Z-3.0.Alpha=+0.20,lte04200-5.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5000,5,-3,0.2,Z-3.0.Alpha=+0.20,lte05000-5.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4300,1,-3,0.2,Z-3.0.Alpha=+0.20,lte04300-1.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5100,4.5,-3,0.2,Z-3.0.Alpha=+0.20,lte05100-4.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4200,0.5,-3,0.2,Z-3.0.Alpha=+0.20,lte04200-0.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5800,5.5,-3,0.2,Z-3.0.Alpha=+0.20,lte05800-5.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5900,4,-3,0.2,Z-3.0.Alpha=+0.20,lte05900-4.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
7600,2,-3,0.2,Z-3.0.Alpha=+0.20,lte07600-2.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
6500,6,-3,0.2,Z-3.0.Alpha=+0.20,lte06500-6.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5800,0.5,-3,0.2,Z-3.0.Alpha=+0.20,lte05800-0.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5900,1,-3,0.2,Z-3.0.Alpha=+0.20,lte05900-1.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
6400,2.5,-3,0.2,Z-3.0.Alpha=+0.20,lte06400-2.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
6500,3,-3,0.2,Z-3.0.Alpha=+0.20,lte06500-3.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
6400,1,-3,0.2,Z-3.0.Alpha=+0.20,lte06400-1.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
7600,4.5,-3,0.2,Z-3.0.Alpha=+0.20,lte07600-4.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5800,3,-3,0.2,Z-3.0.Alpha=+0.20,lte05800-3.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5900,2.5,-3,0.2,Z-3.0.Alpha=+0.20,lte05900-2.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
6400,4,-3,0.2,Z-3.0.Alpha=+0.20,lte06400-4.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
7600,1.5,-3,0.2,Z-3.0.Alpha=+0.20,lte07600-1.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
6500,5.5,-3,0.2,Z-3.0.Alpha=+0.20,lte06500-5.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5800,6,-3,0.2,Z-3.0.Alpha=+0.20,lte05800-6.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4300,2.5,-3,0.2,Z-3.0.Alpha=+0.20,lte04300-2.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4200,3,-3,0.2,Z-3.0.Alpha=+0.20,lte04200-3.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5000,3.5,-3,0.2,Z-3.0.Alpha=+0.20,lte05000-3.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5100,2,-3,0.2,Z-3.0.Alpha=+0.20,lte05100-2.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4200,6,-3,0.2,Z-3.0.Alpha=+0.20,lte04200-6.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4100,3.5,-3,0.2,Z-3.0.Alpha=+0.20,lte04100-3.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4000,2,-3,0.2,Z-3.0.Alpha=+0.20,lte04000-2.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5300,6,-3,0.2,Z-3.0.Alpha=+0.20,lte05300-6.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5200,2.5,-3,0.2,Z-3.0.Alpha=+0.20,lte05200-2.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
5300,3,-3,0.2,Z-3.0.Alpha=+0.20,lte05300-3.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
6700,1.5,-3,0.2,Z-3.0.Alpha=+0.20,lte06700-1.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
7400,5.5,-3,0.2,Z-3.0.Alpha=+0.20,lte07400-5.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4900,6,-3,0.2,Z-3.0.Alpha=+0.20,lte04900-6.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
6600,5,-3,0.2,Z-3.0.Alpha=+0.20,lte06600-5.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
6700,4.5,-3,0.2,Z-3.0.Alpha=+0.20,lte06700-4.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4900,3,-3,0.2,Z-3.0.Alpha=+0.20,lte04900-3.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4800,2.5,-3,0.2,Z-3.0.Alpha=+0.20,lte04800-2.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4900,0.5,-3,0.2,Z-3.0.Alpha=+0.20,lte04900-0.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4800,1,-3,0.2,Z-3.0.Alpha=+0.20,lte04800-1.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
7400,3,-3,0.2,Z-3.0.Alpha=+0.20,lte07400-3.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4900,5.5,-3,0.2,Z-3.0.Alpha=+0.20,lte04900-5.50-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
4800,4,-3,0.2,Z-3.0.Alpha=+0.20,lte04800-4.00-3.0.Alpha=+0.20.PHOENIX-ACES-AGSS-COND-2011-HiRes.fits
